股票代码,股票简称,行业概念,事件概念,交易概念
002345.SZ,潮宏基,"培育钻石,网络直播,奢侈品,黄金,小金属,电子商务","新零售,迪士尼",
600107.SH,美尔雅,,,"融资融券,转融券标的,期货,互联网期货,壳资源"
002926.SZ,华西证券,,地方国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,期货,深股通,富时罗素"
002334.SZ,英威腾,"充电桩,物联网,云计算,光伏建筑一体化,节能电机,数据中心,光伏,IGBT,轨道交通,集成电路,工业互联网,换电,稀土永磁,新能源汽车,透明工厂,工业机器人,燃料电池,机器人,储能",,
002825.SZ,纳尔股份,"燃料电池,煤化工,氢能源,口罩",,"创投,半年报预增"
002150.SZ,通润装备,"海上风电,农机,风电",乡村振兴,"人民币贬值受益,壳资源"
002272.SZ,川润股份,"超超临界发电,特高压,余热发电,垃圾分类,分布式发电,天然气锅炉,高端装备,光伏,风电","碳中和,军工",壳资源
603289.SH,泰瑞机器,"地下管网,新能源汽车,高端装备,垃圾分类","工业4.0,国产替代,比亚迪",
603126.SH,中材节能,"储能,绿色建筑,建筑节能,节能环保","碳中和,地方国资改革,一带一路,中材系,碳交易,电力改革,央企国资改革","标普道琼斯A股,融资融券,转融券标的"
002090.SZ,金智科技,"智能建筑,充电桩,智能电网,电子信息,光伏建筑一体化,数据中心,融资租赁,垃圾分类,电力物联网,虚拟电厂,换电,氢能源,智慧停车,智能交通,5G,机器人,建筑节能,仪电仪表,储能","智慧城市,华为,国产替代",
002553.SZ,南方精工,"大飞机,无线耳机,芯片,集成电路,航空航天,机器人,新能源汽车,工业机器人,减速器,汽车芯片,电子商务",比亚迪,
000810.SZ,创维数字,"虚拟现实,F5G,OLED显示模组,智能电视,智能汽车,在线教育,增强现实,VR设备,OLED,家用电器,广播电视,裸眼3D,文化传媒,汽车电子,芯片设计,芯片,IPV6,MiniLED,5G,智能音箱,数字电视,柔性屏,元宇宙,VR平台,智能家居,WiFi 6,超清视频","数字经济,冬奥会,华为,宽带中国,百度,王者荣耀","融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,深股通,富时罗素"
002768.SZ,国恩股份,"足球,充电桩,锂电池,新材料,生物医药,可降解塑料,碳基材料,体育产业,碳纤维,口罩,新能源汽车,风电","小米,富士康,华为,比亚迪","标普道琼斯A股,深股通"
600537.SH,亿晶光电,"硅能源,多晶硅,蓝宝石,分布式发电,太阳能,新能源,光伏",,"融资融券,转融券标的"
600633.SH,浙数文化,"互联网医疗,平面媒体,元宇宙,文化传媒,NFT,数据交易中心,网络直播,新媒体,云计算,体育产业,大数据,数据中心,电子竞技,手机游戏,区块链,人工智能,网络游戏","阿里巴巴,融媒体,智慧城市,数字出版示范,杭州亚运会","分拆上市意愿,融资融券,转融券标的,独角兽,富时罗素股,证金持股"
000728.SZ,国元证券,"互联网券商,互联网金融",地方国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,深股通,参股新三板,富时罗素"
002405.SZ,四维图新,"芯片,汽车电子,胎压监测,智能汽车,AI芯片,电子信息,数据安全,MCU芯片,无人驾驶,地理信息,智能交通,大数据,卫星导航,汽车芯片,车联网,区块链,人工智能,遥感技术","滴滴股,国产软件,腾讯,蔚来汽车,智慧城市,华为,国产替代,国产操作系统,特斯拉,华为汽车","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
003021.SZ,兆威机电,"机器人,新能源汽车,5G","小米,华为,比亚迪,华为汽车","养老金持股,深股通"
002993.SZ,奥海科技,"充电桩,储能,第三代半导体,氮化镓,新能源汽车,无线充电,消费电子","小米,露营经济,苹果,华为",深股通
601869.SH,长飞光纤,"芯片,集成电路,第三代半导体,工业互联网,光纤光缆,超清视频,5G",,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素,沪股通"
002140.SZ,东华科技,"煤化工,氢能源,盐湖提锂,医疗废物处理,污水处理,固废处理,现代服务业,可降解塑料,乙二醇,供应链金融","一带一路,央企国资改革,PPP","融资融券,转融券标的"
002843.SZ,泰嘉股份,"储能,光伏,消费电子",,
603389.SH,亚振家居,"培育钻石,智能家居",,创投
002350.SZ,北京科锐,"氢能源,充电桩,轨道交通,TOPCON电池,超级电容,储能,燃料电池,智能电网,HJT电池,虚拟电厂,光伏建筑一体化,太阳能,光伏,IGBT",,参股新三板
002606.SZ,大连电瓷,"虚拟电厂,特高压",,
002469.SZ,三维化学,"煤化工,氢能源,储能,固废处理,垃圾分类,节能环保,硫磺","一带一路,油品升级",
603530.SH,神马电力,"智能电网,柔性直流输电,特高压,橡胶",一带一路,
002364.SZ,中恒电气,"充电桩,智能电网,储能,虚拟电厂,工业互联网,氮化镓,5G,换电,能源互联网,数据中心,核电,新能源汽车,特高压,高压快充","国产软件,国家科技大会,阿里巴巴,滴滴股","富时罗素,富时罗素股,标普道琼斯A股"
001289.SZ,龙源电力,"抽水蓄能,海上风电,潮汐发电,地热能,绿色电力,生物质能,生物质能发电,新能源,光伏,风电","碳中和,地方国资改革,一带一路,碳交易,央企国资改革","核准制次新股,新股与次新股,深股通"
603693.SH,江苏新能,"海上风电,光伏,生物质能,太阳能,新能源,绿色电力,风电",地方国资改革,
603507.SH,振江股份,"新能源,光伏,风电",专精特新,参股新三板
002308.SZ,威创股份,"幼儿教育,电力物联网,托育服务,全息手机,虚拟电厂,在线教育,超清视频,大数据","国产软件,三胎,智慧城市,百度","融资融券,半年报预增,转融券标的,股权转让,富时罗素股,富时罗素"
603305.SH,旭升股份,"新能源汽车,一体化压铸","宁德时代,蔚来汽车,特斯拉","标普道琼斯A股,沪股通"
002965.SZ,祥鑫科技,"储能,汽车热管理,5G,新能源汽车,光伏","比亚迪,小鹏汽车,蔚来汽车,华为,宁德时代,特斯拉,华为汽车",半年报预增
001339.SZ,智微智能,网络安全,,"核准制次新股,新股与次新股"
002868.SZ,绿康生化,兽药,"宠物经济,郭台铭",
002921.SZ,联诚精密,"机器人,减速器,光伏,农机",乡村振兴,
603212.SH,赛伍技术,"消费电子,OLED,无线耳机,芯片,高铁,锂电池,HJT电池,集成电路,新材料,太阳能,新能源汽车,光伏,IGBT","宁德时代,特斯拉,比亚迪",半年报预增
000049.SZ,德赛电池,"无线耳机,储能,锂电制造,锂电池,智能终端,物联网,5G,新能源汽车,消费电子,智能穿戴","恒大,地方国资改革,苹果,华为,三星,小米","融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
605288.SH,凯迪股份,"智能医疗,新能源汽车,光伏,智能家居",,
002823.SZ,凯中精密,"燃料电池,新能源汽车,锂电池","工业4.0,特斯拉,比亚迪",
600889.SH,南京化纤,"粘胶短纤,氨纶,风电",地方国资改革,参股券商
600644.SH,乐山电力,"污水处理,天然气,地下管网,光伏,天然气管道,绿色电力",电力改革,
002159.SZ,三特索道,旅游,"收入改革,露营经济",参股券商
600673.SH,东阳光,"超级电容,锂电池,新材料,PVDF,铝电解电容,有色铝,铝材加工,磷酸铁锂,氟化工,消毒剂",华为,"融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,富时罗素,沪股通"
002380.SZ,科远智慧,"电力物联网,超超临界发电,储能,智能电网,节能减排,垃圾分类,虚拟电厂,工业互联网,边缘计算,智慧停车,机器人,透明工厂,工业机器人","工业4.0,碳中和,专精特新,国产软件",
603015.SH,弘讯科技,"智能电网,储能,物联网,虚拟电厂,机器人,工业机器人,光伏,人工智能,风电",工业4.0,台湾股
601798.SH,蓝科高新,"氢能源,储能,海工装备,LNG动力船,页岩气","俄乌冲突,碳中和,油品升级,地方国资改革,央企国资改革,专精特新",央企控股
000912.SZ,泸天化,"煤化工,化肥,煤头尿素,尿素,甲醇",地方国资改革,"融资融券,深股通,转融券标的"
002689.SZ,远大智能,"航空发动机,电梯,工业互联网,机器视觉,机器人,工业机器人,人工智能,风电",工业4.0,
000595.SZ,宝塔实业,"国产航母,光伏,轨道交通,风电","新基建,军工,地方国资改革",
002337.SZ,赛象科技,"数字孪生,大飞机,汽车制造,工业互联网,智能物流,机器人,工业机器人,高端装备","蔚来汽车,专精特新",半年报预增
001236.SZ,弘业期货,,地方国资改革,"核准制次新股,期货,新股与次新股"
002445.SZ,中南文化,"影视娱乐,文化传媒,虚拟现实,网络直播,大数据,音乐产业,高端装备,VR影视",地方国资改革,"明星参股,独角兽"
600466.SH,蓝光发展,"REITs,光伏,3D打印",健康中国,"MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
300115.SZ,长盈精密,"芯片设计,氢能源,无线耳机,芯片,新型烟草,虚拟现实,WIN升级,锂电池,智能终端,口罩,5G,机器人,新能源汽车,工业机器人,消费电子,智能穿戴","工业4.0,苹果,华为,宁德时代,三星,小米,特斯拉","MSCI,融资融券,转融券标的,富时罗素股,深股通,富时罗素"
300870.SZ,欧陆通,"第三代半导体,氮化镓,消费电子","国产替代,富士康,华为,比亚迪","人民币贬值受益,融资融券,转融券标的"
002876.SZ,三利谱,"OLED,柔性屏,OLED材料,虚拟现实,超清视频,VR设备",,深股通
301266.SZ,宇邦新材,"太阳能,硅能源,HJT电池,光伏",,"融资融券,注册制次新股,新股与次新股,转融券标的"
688299.SH,长阳科技,"太阳能,新材料,MiniLED",华为,"融资融券,转融券标的"
002653.SZ,海思科,"仿制药,医疗器械,创新药,乙肝治疗,生物医药,抗癌,仿制药一致性评价","医保目录,银屑病","融资融券,标普道琼斯A股,参股保险,转融券标的,富时罗素股,深股通,富时罗素"
688678.SH,福立旺,"金刚石（线）,光伏,新能源汽车","苹果,特斯拉,比亚迪","融资融券,转融券标的"
301023.SZ,江南奕帆,"机器人,特高压",,"高送转预期,融资融券,转融券标的,送转填权,人民币贬值受益"
688259.SH,创耀科技,"芯片,电力物联网",,"融资融券,新股与次新股,科创次新股,转融券标的"
600620.SH,天宸股份,"养老,智能物流,HJT电池,光伏",民营医院,"融资融券,转融券标的"
688160.SH,步科股份,"机器人,工业互联网",,"融资融券,转融券标的"
300976.SZ,达瑞电子,"汽车电子,消费电子,虚拟现实","小米,苹果,华为,特斯拉","融资融券,转融券标的"
300879.SZ,大叶股份,,,"人民币贬值受益,融资融券,转融券标的"
300301.SZ,*ST长方,"储能,元器件,节能照明",PPP,ST板块
301082.SZ,久盛电气,"核电,轨道交通",杭州亚运会,"融资融券,注册制次新股,新股与次新股,转融券标的"
000886.SZ,海南高速,"免税店,公路建设",地方国资改革,债转股(AMC)
300297.SZ,*ST蓝盾,"广告营销,物联网,机器学习,区块链应用,态势感知,网络安全,大数据,云计算,在线教育,人工智能,文化传媒,职业教育,IPV6,安防,云办公,电子商务,量子科技,区块链,VPN","数字中国,智慧城市,华为,军工","富时罗素,富时罗素股,ST板块,创投"
001979.SZ,招商蛇口,"住房租赁,养老,游轮,免税店,REITs,旅游","央企国资改革,招商系,地方国资改革,租售同权","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,证金持股"
688559.SH,海目星,"新能源汽车,锂电池,激光,TOPCON电池","宁德时代,苹果,华为,特斯拉","融资融券,转融券标的"
300812.SZ,易天股份,"MicroLED,OLED,芯片,柔性屏,MiniLED,先进封装（Chiplet）,消费电子,智能制造",专精特新,
002518.SZ,科士达,"充电桩,储能,铅蓄电池,分布式发电,数据中心,太阳能,新能源,光伏",宁德时代,"融资融券,深股通,转融券标的"
301121.SZ,紫建电子,"消费电子,锂电池,无线耳机","小米,华为,专精特新","融资融券,注册制次新股,新股与次新股,转融券标的"
002765.SZ,蓝黛科技,"触摸屏,新能源汽车,机器人,虚拟现实","军工,比亚迪,华为汽车",
002384.SZ,东山精密,"MiniLED,PCB,节能照明,基站天线,5G,口罩,新能源汽车,融资租赁,基站射频","小米,苹果,特斯拉","MSCI,分拆上市意愿,标普道琼斯A股,融资融券,养老金持股,转融券标的,富时罗素股,深股通"
002980.SZ,华盛昌,"物联网,PM2.5,医疗器械,核污染防治",新冠检测,"人民币贬值受益,养老金持股"
002690.SZ,美亚光电,"智能医疗,医疗器械,牙科医疗",食品安全,"MSCI,融资融券,标普道琼斯A股,养老金持股,转融券标的,富时罗素股,深股通,富时罗素"
301122.SZ,采纳股份,"辅助生殖,医疗器械",外贸受益,"融资融券,新股与次新股,转融券标的,人民币贬值受益,注册制次新股"
688283.SH,坤恒顺维,5G,军工,"融资融券,新股与次新股,科创次新股,转融券标的"
688036.SH,传音控股,消费电子,国产操作系统,"MSCI,融资融券,沪股通,转融券标的"
301113.SZ,雅艺科技,,露营经济,"融资融券,新股与次新股,转融券标的,人民币贬值受益,注册制次新股"
688063.SH,派能科技,"储能,磷酸铁锂,锂电池,钠离子电池",专精特新,"融资融券,沪股通,转融券标的"
301180.SZ,万祥科技,"锂电池,高压快充,消费电子","比亚迪,苹果,华为,宁德时代,facebook","融资融券,注册制次新股,新股与次新股,转融券标的"
002008.SZ,大族激光,"光纤,养老,3D打印,全面屏,光伏,OLED,光刻胶,HJT电池,激光,OLED设备制造,减速器,芯片,MiniLED,深紫外光,机器人,高端装备,消费电子,TOPCON电池,蓝宝石,智能终端,工业母机,节能照明,激光器","比亚迪,苹果,华为,宁德时代,国家科技大会","分拆上市意愿,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素,证金持股"
600313.SH,农发种业,"棉,农业种植,化肥,转基因,玉米,粮食,油豆","贸易战受益股,地方国资改革,乡村振兴,农垦改革,央企国资改革","融资融券,转融券标的"
301128.SZ,强瑞技术,,华为,"融资融券,注册制次新股,新股与次新股,转融券标的"
300322.SZ,硕贝德,"芯片,元宇宙,虚拟现实,智能路由器,汽车热管理,先进封装（Chiplet）,智能终端,全息手机,芯片封装测试,移动天线,WiFi 6,虹膜识别,无人驾驶,5G,NFC,卫星导航,无线充电,消费电子","比亚迪,华为,三星,小米,特斯拉","融资融券,转融券标的,台湾股,富时罗素股,富时罗素"
600827.SH,百联股份,"象牙加工销售,商超百货,免税店,便利店,电子商务","新零售,地方国资改革,阿里巴巴,大消费,迪士尼","MSCI,融资融券,转融券标的,参股券商,富时罗素"
300251.SZ,光线传媒,"动漫,影视娱乐,文化传媒,虚拟现实,网络直播,IP","美团股,京东金融,阿里巴巴","MSCI,明星参股,融资融券,参股民营银行,转融券标的,富时罗素股,深股通,参股新三板,富时罗素"
603317.SH,天味食品,调味品,,"沪股通,半年报预增"
000829.SZ,天音控股,"虚拟运营商,虚拟现实,新型烟草,互联网彩票,网络直播,智能终端","地方国资改革,苹果,抖音,拼多多,华为,百度","标普道琼斯A股,融资融券,转融券标的,创投,独角兽,富时罗素股,深股通"
002897.SZ,意华股份,"新型烟草,无人驾驶,5G,新能源汽车,光伏","富士康,华为,比亚迪,华为汽车",半年报预增
002517.SZ,恺英网络,"动漫,影视娱乐,文化传媒,虚拟现实,元宇宙,网络直播,电子竞技,手机游戏,金融科技,网络游戏","腾讯,网易,王者荣耀","标普道琼斯A股,融资融券,转融券标的,半年报预增,富时罗素股,深股通"
688170.SH,德龙激光,激光,"华为海思股,专精特新","融资融券,新股与次新股,科创次新股,转融券标的"
000601.SZ,韶能股份,"充电桩,生态农业,纸浆,绿色电力,口罩,垃圾发电,生物质能,新能源,新能源汽车,光伏","比亚迪,宝能系",股权转让
300151.SZ,昌红科技,"医药电商,辅助生殖,口罩,基因测序",新冠检测,"富时罗素,创投,深股通"
002245.SZ,蔚蓝锂芯,"芯片,MiniLED,锂电制造,蓝宝石,锂电池,节能照明,氮化镓,正极材料",,"创投,深股通"
300299.SZ,富春股份,"影视娱乐,文化传媒,IP,5G,大数据,手机游戏,网络游戏","郭台铭,数字中国,智慧党建,抖音,智慧城市","融资融券,转融券标的"
002957.SZ,科瑞技术,"无线耳机,芯片,新型烟草,虚拟现实,锂电池,物联网,工业互联网,口罩,机器视觉,机器人,新能源,消费电子","比亚迪,工业4.0,苹果,华为,宁德时代",深股通
003008.SZ,开普检测,"充电桩,特高压,换电,太阳能,柔性直流输电",,
002398.SZ,垒知集团,"体外诊断,储能,光伏建筑一体化,无人岛开发,建筑节能,装配式建筑,光伏",新冠检测,参股民营银行
605228.SH,神通科技,新能源汽车,,
300091.SZ,金通灵,"氢能源,超超临界发电,污水处理,储能,燃料电池,余热发电,生物质能,核电,无人机,高端装备","地方国资改革,农村环境治理,乡村振兴,军工,航天军工","深股通,融资融券,富时罗素股,转融券标的"
300506.SZ,名家汇,"芯片,环氧树脂,节能减排,节能照明,IGBT","智慧灯杆,智慧城市,比亚迪",富时罗素股
600987.SH,航民股份,"涉矿,黄金",杭州亚运会,"融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
688772.SH,珠海冠宇,"储能,新能源汽车,锂电池",小米,"融资融券,新股与次新股,科创次新股,转融券标的"
300014.SZ,亿纬锂能,"盐湖提锂,无线耳机,新型烟草,智能电网,储能,锂电制造,胎压监测,锂电池,安防,新能源汽车,磷酸铁锂,新能源",,"MSCI,融资融券,转融券标的,富时罗素股,深股通,富时罗素"
600821.SH,金开新能,"储能,绿色电力,光伏,风电",地方国资改革,半年报预增
300566.SZ,激智科技,"OLED,MiniLED,OLED材料,TOPCON电池,节能照明,超清视频,光伏","小米,华为",养老金持股
002600.SZ,领益智造,"消费电子,无线耳机,小额再贷款,电动汽车,智能音箱,智能终端,电子信息,永磁高铁,5G,小额贷款,新能源汽车,机器人,小金属,无线充电,光伏","富士康,小米,苹果,华为","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
300752.SZ,隆利科技,"汽车电子,MiniLED,虚拟现实","小米,华为",
301061.SZ,匠心家居,"养老,智能家居",,"融资融券,新股与次新股,转融券标的,送转填权,人民币贬值受益,注册制次新股"
300691.SZ,联合光电,"元宇宙,虚拟现实,汽车电子,安防,无人驾驶,机器视觉,屏下指纹技术,机器人,新能源汽车,消费电子,智能制造","智慧城市,华为,冬奥会",
688208.SH,道通科技,"充电桩,储能,汽车电子,胎压监测,无人驾驶,新能源汽车",,"融资融券,沪股通,转融券标的"
002444.SZ,巨星科技,"人工智能,跨境电商,人机交互,智能家居,激光,雷达,无人驾驶,口罩,机器人,工业机器人,服务机器人,电子商务","露营经济,军工,外贸受益","MSCI,融资融券,标普道琼斯A股,转融券标的,参股银行,人民币贬值受益,富时罗素股,深股通,富时罗素"
603166.SH,福达股份,"汽车制造,新能源汽车","比亚迪,理想汽车,专精特新",
000948.SZ,南天信息,"医疗器械,电子信息,物联网,区块链应用,网络安全,云计算,在线教育,ATM机,大数据,数据中心,金融信息服务,跨境支付（CIPS）,人工智能,金融IC,移动支付,ETC,音乐产业,NFT,机器视觉,能源互联网,金融科技,元宇宙,人脸识别,数据安全,数字货币,SAAS,区块链","数字经济,新版人民币,碳中和,新基建,地方国资改革,数字中国,智慧党建,疫情监测,国产软件,智慧政务,电子身份证,智慧城市,华为,国资云","创投,信托,参股新三板"
600143.SH,金发科技,"氢能源,医疗器械,小额再贷款,聚丙烯,新材料,可降解塑料,碳纤维,口罩,5G,小额贷款,新能源汽车,线型","国家科技大会,特斯拉","融资融券,沪股通,创投,转融券标的"
002290.SZ,禾盛新材,"家用电器,互联网金融,文化传媒",,
688314.SH,康拓医疗,"医疗器械,牙科医疗",,"融资融券,转融券标的"
688315.SH,诺禾致源,基因测序,新冠检测,"融资融券,养老金持股,转融券标的"
600986.SH,浙文互联,"数字营销,元宇宙,广告营销,文化传媒,NFT,共享单车,区块链底层,虚拟数字人,SAAS,手机游戏,区块链","地方国资改革,阿里巴巴,快手,腾讯,抖音,网易,华为,小米,杭州亚运会,王者荣耀","标普道琼斯A股,融资融券,转融券标的,独角兽,富时罗素股"
002120.SZ,韵达股份,"村镇银行,智能物流,快递","双十一,阿里巴巴","MSCI,融资融券,标普道琼斯A股,转融券标的,富时罗素股,深股通,富时罗素"
839725.BJ,惠丰钻石,培育钻石,,"新股与次新股,半年报预增"
688560.SH,明冠新材,"锂电池,HJT电池,光伏",,"融资融券,半年报预增,转融券标的"
300433.SZ,蓝思科技,"充电桩,虚拟现实,光伏,传感器,OLED,汽车电子,新材料,工业互联网,新能源汽车,工业机器人,智能穿戴,新型烟草,玻璃,口罩,3D玻璃,机器人,消费电子,无线耳机,元宇宙,智能家居,触摸屏,蓝宝石","苹果,蔚来汽车,华为,三星,小米,特斯拉","MSCI,融资融券,转融券标的,富时罗素股,深股通,富时罗素"
301183.SZ,东田微,"指纹技术,虚拟现实,汽车电子,F5G,无人驾驶,消费电子",华为,"融资融券,注册制次新股,新股与次新股,转融券标的"
300438.SZ,鹏辉能源,"固态电池,无线耳机,充电桩,新型烟草,储能,锂电制造,燃料电池,锂电池,石墨烯,磷酸铁锂,新能源汽车,钠离子电池,镍氢电池",军工,"独角兽,参股新三板,深股通"
300827.SZ,上能电气,"储能,光伏,智能电网",专精特新,"送转填权,深股通"
603045.SH,福达合金,"卫星导航,智能电网,金属回收",,"融资融券,转融券标的"
688597.SH,煜邦电力,"充电桩,电力物联网,智能电网,特高压,虚拟电厂,能源互联网,无人机,高端装备","国产软件,军工","融资融券,养老金持股,转融券标的"
000040.SZ,东旭蓝天,"粮食,TOPCON电池,固废处理,工业用地,太阳能,光伏建筑一体化,绿色电力,机器人,新能源,区块链,光伏,节能环保","PPP,大运会,农村环境治理,乡村振兴,华为,美丽中国","标普道琼斯A股,融资融券,富时罗素股,转融券标的"
300833.SZ,浩洋股份,文化传媒,专精特新,
688028.SH,沃尔德,"金刚石（线）,OLED,培育钻石,超硬材料",,"融资融券,转融券标的"
000539.SZ,粤电力A,"芯片,超超临界发电,储能,海上风电,EDA,绿色电力,油页岩,光伏,风电","煤价下跌受益,电力改革,地方国资改革","标普道琼斯A股,融资融券,参股保险,B转H,转融券标的,富时罗素股,期货,深股通,证金持股"
603070.SH,万控智造,"智能电网,数据中心",,"核准制次新股,新股与次新股"
300882.SZ,万胜智能,"虚拟电厂,智能表,电力物联网,智能电网",,"融资融券,参股银行,转融券标的"
000899.SZ,赣能股份,"超超临界发电,储能,光伏,核电,新能源,绿色电力","煤价下跌受益,地方国资改革","融资融券,转融券标的"
002326.SZ,永太科技,"锂电池,新材料,六氟磷酸锂,生物医药,中医药,电解液,盐野义,萤石,仿制药一致性评价,儿童医药医疗,氟化工,钠离子电池","新冠治疗,宁德时代","融资融券,标普道琼斯A股,转融券标的,半年报预增,富时罗素股,深股通,富时罗素"
600379.SH,宝光股份,"氢能源,高铁,智能电网,储能,虚拟电厂,太阳能,特高压","央企国资改革,地方国资改革",
688511.SH,天微电子,,军工,"融资融券,转融券标的"
300839.SZ,博汇股份,"新材料,锂电原料",,
605011.SH,杭州热电,"超超临界发电,分布式发电,虚拟电厂,光伏,节能环保","电力改革,地方国资改革",
601788.SH,光大证券,互联网券商,央企国资改革,"MSCI,融资融券,标普道琼斯A股,转融券标的,参股基金,富时罗素股,富时罗素,沪股通,证金持股"
002571.SZ,德力股份,"医疗器械,光伏玻璃,玻璃,IP,新能源汽车,C2M,光伏,网络游戏",拼多多,"创投,参股银行"
300707.SZ,威唐工业,"新能源汽车,汽车热管理",特斯拉,创业板重组松绑
300733.SZ,西菱动力,"汽车制造,新能源汽车,航空航天","理想汽车,军工,航天军工",创业板重组松绑
000599.SZ,青岛双星,"机器人,石墨烯,橡胶","比亚迪,地方国资改革,工业4.0,军民融合,军工",股权转让
688567.SH,孚能科技,"储能,新能源汽车,锂电池,固态电池",,"融资融券,转融券标的"
