股票代码,股票简称,概念名称,行业概念,事件概念,交易概念
301021.SZ,英诺激光,"集成电路,高端装备,融资融券","集成电路,高端装备",,融资融券
300856.SZ,科思股份,"人民币贬值受益,送转填权",,,"人民币贬值受益,送转填权"
300421.SZ,力星股份,"创业板重组松绑,风电,新能源汽车","风电,新能源汽车",,创业板重组松绑
301312.SZ,智立方,"苹果,元宇宙,智能制造,高端装备,专精特新,人民币贬值受益,华为,机器人,工业4.0,机器视觉,融资融券,比亚迪,新股与次新股,注册制次新股","元宇宙,智能制造,高端装备,机器人,机器视觉","华为,专精特新,工业4.0,苹果,比亚迪","人民币贬值受益,新股与次新股,注册制次新股,融资融券"
301278.SZ,快可电子,"光伏,专精特新,光伏建筑一体化,融资融券,储能,新股与次新股,注册制次新股","光伏建筑一体化,光伏,储能",专精特新,"新股与次新股,注册制次新股,融资融券"
688071.SH,华依科技,"高端装备,专精特新,新能源汽车,燃料电池,融资融券,比亚迪","燃料电池,高端装备,新能源汽车","比亚迪,专精特新",融资融券
688398.SH,赛特新材,"冷链物流,专精特新,新材料,融资融券","冷链物流,新材料",专精特新,融资融券
300982.SZ,苏文电能,"光伏,充电桩,智能电网,工业互联网,深股通,融资融券,储能","充电桩,光伏,智能电网,工业互联网,储能",,"深股通,融资融券"
300382.SZ,斯莱克,"半年报预增,锂电池,专精特新,机器人,深股通,C2M,新能源汽车","新能源汽车,锂电池,C2M,机器人",专精特新,"深股通,半年报预增"
300806.SZ,斯迪克,"无线耳机,专精特新,华为,送转填权,特斯拉,消费电子,石墨烯,深股通,富士康,新材料","石墨烯,新材料,无线耳机,消费电子","华为,特斯拉,专精特新,富士康","送转填权,深股通"
688630.SH,芯碁微装,"光刻胶,高端装备,专精特新,OLED,融资融券","光刻胶,OLED,高端装备",专精特新,融资融券
688001.SH,华兴源创,"无线耳机,5G,苹果,特斯拉,OLED,消费电子,融资融券,集成电路","无线耳机,5G,OLED,消费电子,集成电路","特斯拉,苹果",融资融券
300219.SZ,鸿利智汇,"车联网,虚拟现实,互联网金融,MiniLED,柔性屏,深股通,节能照明,新能源汽车,文化传媒,比亚迪,汽车电子","虚拟现实,互联网金融,MiniLED,柔性屏,节能照明,新能源汽车,文化传媒,车联网,汽车电子",比亚迪,深股通
688020.SH,方邦股份,"5G,专精特新,华为,稀土永磁,融资融券","5G,稀土永磁","华为,专精特新",融资融券
301051.SZ,信濠光电,"深股通,融资融券",,,"深股通,融资融券"
002630.SZ,华西能源,"碳中和,节能环保,超超临界发电,参股银行,PPP,固废处理,绿色电力,储能,新材料","节能环保,超超临界发电,固废处理,绿色电力,储能,新材料","碳中和,PPP",参股银行
002662.SZ,京威股份,"锂电池,特斯拉,标普道琼斯A股,燃料电池,融资融券,恒大,新能源汽车,储能,新材料","锂电池,燃料电池,新能源汽车,储能,新材料","恒大,特斯拉","标普道琼斯A股,融资融券"
002564.SZ,天沃科技,"光伏,碳中和,上海国资改革,高端装备,军工,超超临界发电,特高压,军民融合,核电,风电,一带一路,氢能源,光热发电,煤化工","光伏,高端装备,超超临界发电,特高压,核电,风电,氢能源,光热发电,煤化工","军民融合,军工,碳中和,一带一路",
000605.SZ,渤海股份,"雄安新区,京津冀一体化,PPP,固废处理,污水处理,REITs","固废处理,污水处理,REITs",PPP,
002363.SZ,隆基机械,"军工,华为,特斯拉,工业4.0,新能源汽车,比亚迪,华为汽车",新能源汽车,"军工,华为,特斯拉,工业4.0,比亚迪,华为汽车",
002221.SZ,东华能源,"碳纤维,口罩,燃料电池,深股通,融资融券,氢能源,天然气,俄乌冲突,页岩气","碳纤维,燃料电池,氢能源,口罩,天然气,页岩气",俄乌冲突,"深股通,融资融券"
000045.SZ,深纺织A,"超清视频,虚拟现实,OLED,深圳国资改革","超清视频,虚拟现实,OLED",,
600774.SH,汉商集团,"医美,幽门螺杆菌,新零售,医疗器械,辅助生殖,新材料","医美,幽门螺杆菌,医疗器械,辅助生殖,新材料",新零售,
002345.SZ,潮宏基,"黄金,电子商务,网络直播,新零售,NFT,小金属,培育钻石","黄金,电子商务,网络直播,NFT,培育钻石,小金属",新零售,
600107.SH,美尔雅,"壳资源,期货,融资融券",,,"期货,壳资源,融资融券"
002926.SZ,华西证券,"期货,MSCI,深股通,融资融券,标普道琼斯A股",,,"期货,MSCI,深股通,融资融券,标普道琼斯A股"
002334.SZ,英威腾,"光伏,充电桩,换电,稀土永磁,工业互联网,机器人,光伏建筑一体化,燃料电池,新能源汽车,云计算,物联网,数据中心,氢能源,集成电路,储能","充电桩,光伏,换电,稀土永磁,工业互联网,机器人,光伏建筑一体化,燃料电池,新能源汽车,云计算,物联网,数据中心,氢能源,集成电路,储能",,
002825.SZ,纳尔股份,"半年报预增,创投,燃料电池,氢能源,口罩,煤化工","氢能源,口罩,煤化工,燃料电池",,"半年报预增,创投"
002150.SZ,通润装备,"人民币贬值受益,乡村振兴,风电,农机,壳资源","风电,农机",乡村振兴,"人民币贬值受益,壳资源"
002272.SZ,川润股份,"光伏,碳中和,军工,垃圾分类,高端装备,超超临界发电,特高压,核电,风电,光热发电,壳资源","光伏,高端装备,垃圾分类,超超临界发电,特高压,核电,风电,光热发电","军工,碳中和",壳资源
603289.SH,泰瑞机器,"垃圾分类,高端装备,地下管网,工业4.0,新能源汽车,比亚迪,长三角一体化","垃圾分类,地下管网,高端装备,新能源汽车","工业4.0,比亚迪",
603126.SH,中材节能,"碳中和,雄安新区,节能环保,碳交易,央企国资改革,建筑节能,一带一路,融资融券,标普道琼斯A股,光热发电,储能","节能环保,光热发电,储能,建筑节能","一带一路,央企国资改革,碳中和,碳交易","标普道琼斯A股,融资融券"
002090.SZ,金智科技,"5G,充电桩,智能电网,智能交通,换电,垃圾分类,华为,机器人,虚拟电厂,光伏建筑一体化,电力物联网,智慧城市,建筑节能,数据中心,氢能源,储能","5G,充电桩,智能电网,智能交通,换电,垃圾分类,机器人,光伏建筑一体化,建筑节能,电力物联网,虚拟电厂,数据中心,氢能源,储能","华为,智慧城市",
002553.SZ,南方精工,"无线耳机,减速器,专精特新,电子商务,汽车芯片,机器人,芯片,新能源汽车,大飞机,比亚迪,集成电路","无线耳机,减速器,电子商务,汽车芯片,机器人,芯片,新能源汽车,大飞机,集成电路","比亚迪,专精特新",
000810.SZ,创维数字,"半年报预增,智能音箱,家用电器,在线教育,深股通,融资融券,元宇宙,芯片,柔性屏,冬奥会,5G,百度,F5G,OLED,MiniLED,标普道琼斯A股,汽车电子,超清视频,数字经济,虚拟现实,华为,智能家居,文化传媒,WiFi6","超清视频,5G,元宇宙,F5G,虚拟现实,智能音箱,OLED,智能家居,家用电器,芯片,MiniLED,柔性屏,在线教育,文化传媒,汽车电子","冬奥会,华为,百度,数字经济","标普道琼斯A股,深股通,半年报预增,融资融券"
002768.SZ,国恩股份,"可降解塑料,充电桩,锂电池,足球,华为,小米,碳纤维,体育产业,新能源汽车,口罩,风电,深股通,富士康,标普道琼斯A股,比亚迪,新材料,生物医药","充电桩,可降解塑料,锂电池,足球,碳纤维,体育产业,风电,新能源汽车,口罩,新材料,生物医药","比亚迪,华为,小米,富士康","标普道琼斯A股,深股通"
600537.SH,亿晶光电,"光伏,绿色电力,TOPCON电池,融资融券,硅能源","光伏,绿色电力,硅能源,TOPCON电池",,融资融券
600633.SH,浙数文化,"大数据,区块链,互联网医疗,手机游戏,融资融券,网络游戏,元宇宙,杭州亚运会,体育产业,网络直播,独角兽,NFT,智慧城市,阿里巴巴,人工智能,分拆上市意愿,共同富裕示范区,证金持股,云计算,数据中心,电子竞技,文化传媒","大数据,区块链,网络游戏,元宇宙,互联网医疗,体育产业,网络直播,NFT,手机游戏,云计算,数据中心,电子竞技,人工智能,文化传媒","杭州亚运会,智慧城市,阿里巴巴","分拆上市意愿,证金持股,独角兽,融资融券"
000728.SZ,国元证券,"互联网金融,MSCI,参股新三板,深股通,融资融券,标普道琼斯A股",互联网金融,,"MSCI,参股新三板,深股通,融资融券,标普道琼斯A股"
002405.SZ,四维图新,"大数据,区块链,MSCI,深股通,融资融券,华为汽车,胎压监测,特斯拉,芯片,数据安全,汽车芯片,智慧城市,腾讯,无人驾驶,标普道琼斯A股,国产操作系统,智能交通,汽车电子,人工智能,卫星导航,华为,国产软件,MCU芯片,车联网","大数据,区块链,人工智能,智能交通,胎压监测,数据安全,汽车芯片,芯片,MCU芯片,无人驾驶,车联网,汽车电子,卫星导航","华为,特斯拉,智慧城市,国产软件,腾讯,国产操作系统,华为汽车","标普道琼斯A股,深股通,MSCI,融资融券"
003021.SZ,兆威机电,"5G,华为,小米,机器人,深股通,新能源汽车,比亚迪,华为汽车","5G,新能源汽车,机器人","比亚迪,华为,小米,华为汽车",深股通
002993.SZ,奥海科技,"充电桩,无线充电,华为,小米,消费电子,露营经济,深股通,苹果,新能源汽车,储能,第三代半导体","充电桩,无线充电,消费电子,新能源汽车,储能,第三代半导体","华为,小米,露营经济,苹果",深股通
601869.SH,长飞光纤,"沪股通,超清视频,5G,工业互联网,芯片,融资融券,标普道琼斯A股,集成电路,第三代半导体","超清视频,5G,工业互联网,芯片,集成电路,第三代半导体",,"标普道琼斯A股,沪股通,融资融券"
002140.SZ,东华科技,"可降解塑料,医疗废物处理,央企国资改革,PPP,盐湖提锂,融资融券,固废处理,一带一路,污水处理,供应链金融,氢能源,光热发电,煤化工","可降解塑料,医疗废物处理,固废处理,盐湖提锂,污水处理,供应链金融,氢能源,光热发电,煤化工","一带一路,央企国资改革,PPP",融资融券
002843.SZ,泰嘉股份,"光伏,储能,军工,消费电子","光伏,储能,消费电子",军工,
603389.SH,亚振家居,"培育钻石,智能家居,创投","培育钻石,智能家居",,创投
002350.SZ,北京科锐,"超级电容,光伏,HJT电池,充电桩,雄安新区,智能电网,虚拟电厂,光伏建筑一体化,燃料电池,参股新三板,TOPCON电池,氢能源,储能","超级电容,充电桩,HJT电池,光伏,智能电网,光伏建筑一体化,燃料电池,虚拟电厂,TOPCON电池,氢能源,储能",,参股新三板
002606.SZ,大连电瓷,"虚拟电厂,特高压","虚拟电厂,特高压",,
002469.SZ,三维化学,"垃圾分类,节能环保,固废处理,一带一路,氢能源,光热发电,储能,煤化工","垃圾分类,节能环保,固废处理,氢能源,光热发电,储能,煤化工",一带一路,
603530.SH,神马电力,"柔性直流输电,智能电网,一带一路,特高压","柔性直流输电,智能电网,特高压",一带一路,
002364.SZ,中恒电气,"5G,充电桩,智能电网,换电,工业互联网,特高压,核电,虚拟电厂,国产软件,阿里巴巴,数据中心,标普道琼斯A股,新能源汽车,储能,高压快充","5G,充电桩,智能电网,换电,工业互联网,特高压,核电,虚拟电厂,数据中心,新能源汽车,储能,高压快充","国产软件,阿里巴巴",标普道琼斯A股
001289.SZ,龙源电力,"光伏,抽水蓄能,同花顺漂亮100,碳中和,碳交易,央企国资改革,新疆振兴,核准制次新股,绿色电力,生物质能发电,深股通,一带一路,风电,新股与次新股","光伏,抽水蓄能,绿色电力,风电,生物质能发电","一带一路,央企国资改革,碳中和,碳交易","核准制次新股,深股通,新股与次新股"
603693.SH,江苏新能,"光伏,绿色电力,风电","绿色电力,光伏,风电",,
603507.SH,振江股份,"光伏,专精特新,参股新三板,风电,光热发电","光热发电,风电,光伏",专精特新,参股新三板
002308.SZ,威创股份,"超清视频,大数据,半年报预增,百度,三胎,在线教育,电力物联网,国产软件,智慧城市,托育服务,融资融券,股权转让,粤港澳大湾区","超清视频,大数据,电力物联网,在线教育,托育服务","百度,智慧城市,国产软件,三胎","股权转让,半年报预增,融资融券"
603305.SH,旭升股份,"沪股通,特斯拉,新能源汽车,标普道琼斯A股,宁德时代,一体化压铸","一体化压铸,新能源汽车","宁德时代,特斯拉","标普道琼斯A股,沪股通"
002965.SZ,祥鑫科技,"光伏,5G,半年报预增,宁德时代,华为,特斯拉,汽车热管理,新能源汽车,比亚迪,储能,华为汽车","5G,光伏,汽车热管理,新能源汽车,储能","华为,特斯拉,比亚迪,宁德时代,华为汽车",半年报预增
001339.SZ,智微智能,"专精特新,消费电子,网络安全,核准制次新股,机器视觉,安防,人工智能,新股与次新股","消费电子,网络安全,机器视觉,安防,人工智能",专精特新,"核准制次新股,新股与次新股"
002868.SZ,绿康生化,"人民币贬值受益,宠物经济",,宠物经济,人民币贬值受益
002921.SZ,联诚精密,"光伏,减速器,机器人,乡村振兴,农机,光热发电","光伏,减速器,机器人,农机,光热发电",乡村振兴,
603212.SH,赛伍技术,"无线耳机,光伏,HJT电池,半年报预增,锂电池,宁德时代,特斯拉,OLED,消费电子,芯片,TOPCON电池,新能源汽车,比亚迪,长三角一体化,新材料,高铁,集成电路","无线耳机,光伏,HJT电池,锂电池,OLED,消费电子,芯片,TOPCON电池,新能源汽车,集成电路,新材料,高铁","比亚迪,宁德时代,特斯拉",半年报预增
000049.SZ,德赛电池,"无线耳机,5G,苹果,锂电池,智能穿戴,华为,小米,消费电子,标普道琼斯A股,深股通,物联网,融资融券,恒大,新能源汽车,储能","无线耳机,5G,锂电池,智能穿戴,消费电子,物联网,新能源汽车,储能","恒大,华为,小米,苹果","标普道琼斯A股,深股通,融资融券"
605288.SH,凯迪股份,"智能医疗,光伏,智能家居,新能源汽车","智能医疗,光伏,智能家居,新能源汽车",,
002823.SZ,凯中精密,"锂电池,特斯拉,工业4.0,燃料电池,新能源汽车,比亚迪","燃料电池,锂电池,新能源汽车","工业4.0,比亚迪,特斯拉",
600889.SH,南京化纤,"风电,参股券商",风电,,参股券商
600644.SH,乐山电力,"光伏,地下管网,绿色电力,污水处理,天然气","光伏,地下管网,绿色电力,污水处理,天然气",,
002159.SZ,三特索道,"参股券商,露营经济",,露营经济,参股券商
600673.SH,东阳光,"沪股通,超级电容,半年报预增,锂电池,华为,消毒剂,PVDF,氟化工,融资融券,标普道琼斯A股,新材料","超级电容,锂电池,消毒剂,PVDF,氟化工,新材料",华为,"标普道琼斯A股,半年报预增,沪股通,融资融券"
002380.SZ,科远智慧,"智能电网,碳中和,垃圾分类,超超临界发电,专精特新,工业互联网,机器人,虚拟电厂,工业4.0,电力物联网,国产软件,边缘计算,一带一路,光热发电,储能","智能电网,垃圾分类,超超临界发电,工业互联网,机器人,虚拟电厂,电力物联网,边缘计算,光热发电,储能","碳中和,专精特新,工业4.0,一带一路,国产软件",
603015.SH,弘讯科技,"光伏,智能电网,人工智能,机器人,虚拟电厂,工业4.0,芯片,风电,物联网,储能","光伏,智能电网,人工智能,机器人,芯片,虚拟电厂,风电,物联网,储能",工业4.0,
601798.SH,蓝科高新,"碳中和,专精特新,央企国资改革,一带一路,氢能源,光热发电,储能,海工装备,俄乌冲突,页岩气","氢能源,光热发电,储能,海工装备,页岩气","碳中和,专精特新,央企国资改革,一带一路,俄乌冲突",
000912.SZ,泸天化,"化肥,深股通,煤化工,融资融券","化肥,煤化工",,"深股通,融资融券"
002689.SZ,远大智能,"中俄贸易,工业互联网,机器人,工业4.0,风电,机器视觉,人工智能,航空发动机","工业互联网,机器人,风电,机器视觉,人工智能,航空发动机",工业4.0,
000595.SZ,宝塔实业,"光伏,风电,军工,国产航母","光伏,风电,国产航母",军工,
002337.SZ,赛象科技,"半年报预增,高端装备,数字孪生,专精特新,人民币贬值受益,工业互联网,机器人,大飞机,智能物流","高端装备,数字孪生,工业互联网,机器人,大飞机,智能物流",专精特新,"人民币贬值受益,半年报预增"
001236.SZ,弘业期货,"核准制次新股,深股通,新股与次新股,期货",,,"核准制次新股,深股通,新股与次新股,期货"
002445.SZ,中南文化,"大数据,高端装备,虚拟现实,独角兽,网络直播,文化传媒","大数据,高端装备,虚拟现实,网络直播,文化传媒",,独角兽
600466.SH,蓝光发展,"3D打印,光伏,MSCI,融资融券,健康中国,标普道琼斯A股,REITs","3D打印,REITs,光伏",健康中国,"标普道琼斯A股,MSCI,融资融券"
300115.SZ,长盈精密,"MSCI,深股通,融资融券,特斯拉,机器人,芯片,新能源汽车,宁德时代,5G,锂电池,智能穿戴,苹果,氢能源,口罩,无线耳机,虚拟现实,华为,小米,消费电子,工业4.0,新型烟草","无线耳机,5G,锂电池,智能穿戴,虚拟现实,消费电子,机器人,芯片,新型烟草,新能源汽车,氢能源,口罩","华为,小米,特斯拉,工业4.0,苹果,宁德时代","深股通,MSCI,融资融券"
300870.SZ,欧陆通,"华为,人民币贬值受益,消费电子,融资融券,富士康,比亚迪,第三代半导体","第三代半导体,消费电子","比亚迪,华为,富士康","人民币贬值受益,融资融券"
002876.SZ,三利谱,"超清视频,专精特新,虚拟现实,OLED,柔性屏,深股通","超清视频,虚拟现实,柔性屏,OLED",专精特新,深股通
301266.SZ,宇邦新材,"光伏,HJT电池,硅能源,专精特新,融资融券,新股与次新股,注册制次新股","光伏,HJT电池,硅能源",专精特新,"新股与次新股,注册制次新股,融资融券"
688299.SH,长阳科技,"华为,MiniLED,新材料,融资融券","MiniLED,新材料",华为,融资融券
002653.SZ,海思科,"参股保险,深股通,仿制药一致性评价,融资融券,标普道琼斯A股,医疗器械,生物医药","医疗器械,仿制药一致性评价,生物医药",,"标普道琼斯A股,深股通,参股保险,融资融券"
688678.SH,福立旺,"光伏,苹果,特斯拉,新能源汽车,融资融券,比亚迪","光伏,新能源汽车","比亚迪,特斯拉,苹果",融资融券
301023.SZ,江南奕帆,"人民币贬值受益,送转填权,特高压,机器人,融资融券","特高压,机器人",,"人民币贬值受益,送转填权,融资融券"
688259.SH,创耀科技,"科创次新股,芯片,电力物联网,融资融券,新股与次新股","芯片,电力物联网",,"新股与次新股,科创次新股,融资融券"
600620.SH,天宸股份,"光伏,HJT电池,养老,融资融券,智能物流,民营医院","光伏,HJT电池,养老,智能物流",民营医院,融资融券
688160.SH,步科股份,"融资融券,工业互联网,机器人","工业互联网,机器人",,融资融券
300976.SZ,达瑞电子,"苹果,虚拟现实,华为,小米,特斯拉,消费电子,融资融券,汽车电子","虚拟现实,汽车电子,消费电子","华为,特斯拉,小米,苹果",融资融券
300879.SZ,大叶股份,"人民币贬值受益,融资融券",,,"人民币贬值受益,融资融券"
300301.SZ,*ST长方,"ST板块,储能,节能照明,PPP","储能,节能照明",PPP,ST板块
301082.SZ,久盛电气,"杭州亚运会,核电,融资融券,光热发电,新股与次新股,注册制次新股","光热发电,核电",杭州亚运会,"新股与次新股,注册制次新股,融资融券"
000886.SZ,海南高速,"免税店,债转股(AMC),海南自贸区",免税店,,债转股(AMC)
300297.SZ,*ST蓝盾,"大数据,区块链,云办公,量子科技,军工,职业教育,华为,电子商务,网络安全,创投,ST板块,在线教育,智慧城市,云计算,物联网,安防,人工智能,文化传媒","大数据,区块链,云办公,量子科技,职业教育,电子商务,网络安全,在线教育,云计算,物联网,安防,人工智能,文化传媒","华为,智慧城市,军工","ST板块,创投"
001979.SZ,招商蛇口,"租售同权,雄安新区,免税店,养老,MSCI,央企国资改革,证金持股,深股通,融资融券,标普道琼斯A股,粤港澳大湾区,REITs","免税店,养老,REITs","租售同权,央企国资改革","MSCI,深股通,证金持股,融资融券,标普道琼斯A股"
688559.SH,海目星,"苹果,锂电池,华为,特斯拉,TOPCON电池,融资融券,新能源汽车,宁德时代","锂电池,TOPCON电池,新能源汽车","华为,宁德时代,特斯拉,苹果",融资融券
300812.SZ,易天股份,"先进封装（Chiplet）,智能制造,专精特新,OLED,消费电子,芯片,MicroLED,MiniLED,柔性屏","先进封装（Chiplet）,智能制造,OLED,消费电子,芯片,MicroLED,MiniLED,柔性屏",专精特新,
002518.SZ,科士达,"光伏,充电桩,融资融券,深股通,数据中心,储能,宁德时代","充电桩,储能,数据中心,光伏",宁德时代,"深股通,融资融券"
301121.SZ,紫建电子,"无线耳机,锂电池,专精特新,智能音箱,华为,小米,消费电子,融资融券,新股与次新股,注册制次新股","无线耳机,智能音箱,锂电池,消费电子","小米,华为,专精特新","新股与次新股,注册制次新股,融资融券"
002765.SZ,蓝黛科技,"军工,虚拟现实,机器人,新能源汽车,比亚迪,华为汽车","新能源汽车,虚拟现实,机器人","比亚迪,军工,华为汽车",
002384.SZ,东山精密,"5G,苹果,小米,特斯拉,MSCI,新能源汽车,PCB,MiniLED,深股通,节能照明,融资融券,标普道琼斯A股,口罩,分拆上市意愿","5G,MiniLED,PCB,节能照明,新能源汽车,口罩","小米,特斯拉,苹果","MSCI,深股通,融资融券,标普道琼斯A股,分拆上市意愿"
002980.SZ,华盛昌,"PM2.5,新冠检测,人民币贬值受益,物联网,医疗器械","PM2.5,医疗器械,物联网",新冠检测,人民币贬值受益
002690.SZ,美亚光电,"牙科医疗,智能医疗,食品安全,MSCI,深股通,融资融券,标普道琼斯A股,医疗器械","智能医疗,牙科医疗,医疗器械",食品安全,"标普道琼斯A股,深股通,MSCI,融资融券"
301122.SZ,采纳股份,"人民币贬值受益,融资融券,辅助生殖,医疗器械,新股与次新股,注册制次新股","辅助生殖,医疗器械",,"人民币贬值受益,新股与次新股,注册制次新股,融资融券"
688283.SH,坤恒顺维,"5G,军工,专精特新,科创次新股,融资融券,新股与次新股",5G,"专精特新,军工","新股与次新股,科创次新股,融资融券"
688036.SH,传音控股,"沪股通,同花顺漂亮100,MSCI,消费电子,融资融券,国产操作系统",消费电子,国产操作系统,"沪股通,MSCI,融资融券"
301113.SZ,雅艺科技,"人民币贬值受益,露营经济,融资融券,新股与次新股,注册制次新股",,露营经济,"人民币贬值受益,新股与次新股,注册制次新股,融资融券"
688063.SH,派能科技,"沪股通,锂电池,专精特新,钠离子电池,融资融券,储能","储能,锂电池,钠离子电池",专精特新,"沪股通,融资融券"
301180.SZ,万祥科技,"苹果,锂电池,高压快充,华为,消费电子,融资融券,比亚迪,宁德时代,新股与次新股,注册制次新股","消费电子,锂电池,高压快充","比亚迪,华为,宁德时代,苹果","新股与次新股,注册制次新股,融资融券"
002008.SZ,大族激光,"HJT电池,光刻胶,养老,深股通,节能照明,融资融券,工业母机,光伏,机器人,芯片,TOPCON电池,宁德时代,高端装备,OLED,MiniLED,苹果,标普道琼斯A股,比亚迪,分拆上市意愿,3D打印,减速器,华为,消费电子,证金持股,钙钛矿电池","3D打印,HJT电池,光伏,光刻胶,高端装备,减速器,养老,OLED,消费电子,机器人,芯片,MiniLED,节能照明,TOPCON电池,工业母机,钙钛矿电池","比亚迪,华为,宁德时代,苹果","深股通,证金持股,融资融券,标普道琼斯A股,分拆上市意愿"
600313.SH,农发种业,"农业种植,央企国资改革,转基因,乡村振兴,粮食,融资融券,化肥,玉米","农业种植,转基因,粮食,化肥,玉米","乡村振兴,央企国资改革",融资融券
301128.SZ,强瑞技术,"华为,新能源汽车,融资融券,比亚迪,新股与次新股,注册制次新股",新能源汽车,"比亚迪,华为","新股与次新股,注册制次新股,融资融券"
300322.SZ,硕贝德,"5G,无线充电,元宇宙,虚拟现实,华为,小米,特斯拉,消费电子,芯片,汽车热管理,无人驾驶,融资融券,比亚迪,WiFi6,卫星导航","5G,无线充电,元宇宙,虚拟现实,消费电子,芯片,汽车热管理,无人驾驶,卫星导航","比亚迪,华为,特斯拉,小米",融资融券
600827.SH,百联股份,"上海国资改革,免税店,电子商务,MSCI,新零售,参股券商,阿里巴巴,融资融券","免税店,电子商务","新零售,阿里巴巴","参股券商,MSCI,融资融券"
300251.SZ,光线传媒,"虚拟现实,MSCI,网络直播,参股新三板,深股通,阿里巴巴,融资融券,文化传媒","文化传媒,虚拟现实,网络直播",阿里巴巴,"参股新三板,深股通,MSCI,融资融券"
603317.SH,天味食品,"沪股通,半年报预增",,,"沪股通,半年报预增"
000829.SZ,天音控股,"苹果,抖音,百度,虚拟现实,华为,独角兽,互联网彩票,网络直播,拼多多,新型烟草,深圳国资改革,深股通,创投,融资融券,标普道琼斯A股,粤港澳大湾区","新型烟草,虚拟现实,互联网彩票,网络直播","百度,抖音,华为,拼多多,苹果","独角兽,创投,深股通,融资融券,标普道琼斯A股"
002897.SZ,意华股份,"光伏,5G,半年报预增,华为,新能源汽车,新型烟草,无人驾驶,富士康,比亚迪,华为汽车","5G,光伏,新型烟草,无人驾驶,新能源汽车","比亚迪,华为,富士康,华为汽车",半年报预增
002517.SZ,恺英网络,"半年报预增,电子竞技,元宇宙,网络游戏,虚拟现实,网络直播,手机游戏,深股通,腾讯,融资融券,标普道琼斯A股,文化传媒","元宇宙,虚拟现实,网络直播,手机游戏,网络游戏,电子竞技,文化传媒",腾讯,"标普道琼斯A股,深股通,半年报预增,融资融券"
688170.SH,德龙激光,"华为海思,专精特新,科创次新股,融资融券,新股与次新股",,"专精特新,华为海思","新股与次新股,科创次新股,融资融券"
000601.SZ,韶能股份,"光伏,充电桩,口罩,生物质能发电,绿色电力,新能源汽车,股权转让,比亚迪,生态农业","充电桩,光伏,绿色电力,生物质能发电,新能源汽车,口罩,生态农业",比亚迪,股权转让
300151.SZ,昌红科技,"医药电商,新冠检测,基因测序,创投,深股通,口罩,辅助生殖","口罩,辅助生殖,医药电商,基因测序",新冠检测,"深股通,创投"
002245.SZ,蔚蓝锂芯,"锂电池,创投,芯片,MiniLED,深股通,节能照明","芯片,MiniLED,锂电池,节能照明",,"深股通,创投"
300299.SZ,富春股份,"大数据,5G,抖音,网络游戏,手机游戏,智慧城市,融资融券,文化传媒","大数据,5G,手机游戏,网络游戏,文化传媒","智慧城市,抖音",融资融券
002957.SZ,科瑞技术,"无线耳机,锂电池,虚拟现实,华为,工业互联网,消费电子,机器人,工业4.0,新型烟草,芯片,深股通,机器视觉,物联网,苹果,口罩,比亚迪,宁德时代","无线耳机,锂电池,虚拟现实,工业互联网,消费电子,机器人,芯片,新型烟草,机器视觉,物联网,口罩","华为,工业4.0,苹果,比亚迪,宁德时代",深股通
003008.SZ,开普检测,"柔性直流输电,充电桩,特高压,换电","柔性直流输电,充电桩,特高压,换电",,
