POS,market,sec_code,sec_name,now_price,chg,所属概念,概念个数0#,投资逻辑,主营关键字,所属通达信行业
11,0,002298,中电兴发,6.85,2.09,国防军工;工业互联;人工智能;东数西算;储能;智能电网;民营银行;无人机;碳中和;PPP概念;国产软件;数据中心;时空数据;区块链;AIGC概念;数据要素;充电桩;安防服务;智慧政务;虚拟电厂;智能机器;边缘计算;智慧城市;信创;信息安全,25,具有“九甲”资质的智慧中国全面解决方案提供商,智慧城市,@通达信行业@
12,0,000066,中国长城,14.10,-4.15,军民融合;卫星导航;信创;国产软件;锂电池;算力概念;东数西算;5G概念;钠电池;量子科技;云计算;人工智能;智慧城市;操作系统;汽车电子;芯片;央企改革;新能源车;光伏;粤港澳;无人机;数据中心;国防军工;信息安全;区块链,25,中国“PKS”自主计算体系建设主力军,国产CPU,@通达信行业@
13,0,000070,特发信息,9.45,-6.16,国防军工;智慧政务;创投概念;算力概念;腾讯概念;东数西算;智能电网;5G概念;光通信;阿里概念;云计算;人工智能;一带一路;智慧城市;国资云;芯片;CPO概念;大数据;抖音概念;特高压;6G概念;无人机;粤港澳;物业管理;数据中心,25,国内光纤光缆行业10强,光纤光缆,@通达信行业@
14,0,300188,美亚柏科,23.99,-8.19,海峡西岸;人工智能;AIGC概念;阿里概念;无人机;云计算;信创;数字货币;国防军工;东数西算;大数据;数据确权;智慧城市;信息安全;智能机器;国资云;电子身份;央企改革;区块链;国产软件;ChatGPT;安防服务;知识产权;数据要素,24,电子数据取证行业的龙头企业,电子取证,@通达信行业@
15,1,600718,东软集团,11.18,-4.28,数据中心;信息安全;智能医疗;大数据;区块链;算力概念;物联网;信创;无人驾驶;新能源车;数据要素;AIGC概念;DRG-DIP;人工智能;东数西算;边缘计算;国产软件;云计算;百度概念;智慧政务;智慧城市;国资云;工业互联;汽车电子,24,行业领先的全球化信息技术、产品和解决方案公司,应用软件开发,@通达信行业@
16,0,300075,数字政通,26.38,-6.92,安防服务;人工智能;智慧政务;国产软件;无人驾驶;数字孪生;卫星导航;雄安新区;国防军工;AIGC概念;大数据;ETC概念;数据要素;智能医疗;元宇宙;垃圾分类;虚拟现实;物联网;智能交通;区块链;智慧城市;信创;腾讯概念;地下管网,24,国内知名度较高、市场份额领先的智慧城市提供商之一,智慧城市,@通达信行业@
17,0,300353,东土科技,12.88,-1.30,EDA概念;5G概念;工业母机;操作系统;智能交通;信创;国防军工;工业软件;边缘计算;汽车芯片;物联网;汽车电子;智能电网;数据中心;芯片;无人机;机器视觉;虚拟电厂;大数据;智能机器;军民融合;雄安新区;工业互联;智慧城市,24,国内产品种类最齐全的工业以太网交换机厂商,交换机,@通达信行业@
18,0,002065,东华软件,7.74,-4.68,智慧城市;虚拟现实;军民融合;区块链;腾讯概念;DRG-DIP;无人驾驶;互联金融;云计算;智能医疗;水利建设;大数据;元宇宙;信息安全;民营银行;跨境支付;数据中心;雄安新区;国产软件;海南自贸;人工智能;智慧政务;知识付费;信创,24,国内领先的综合性行业应用软件、系统集成提供商,系统集成,@通达信行业@
19,0,301236,软通动力,30.00,-4.67,ChatGPT;元宇宙;阿里概念;百度概念;数字孪生;智能机器;跨境支付;区块链;数字货币;信创;国产软件;腾讯概念;互联金融;智能医疗;抖音概念;无人驾驶;华为鸿蒙;工业互联;虚拟电厂;人工智能;小米概念;芯片;操作系统,23,国内IT外包龙头，核心客户包括华为,软件外包业务,@通达信行业@
20,0,300229,拓尔思,32.00,-3.26,Web3概念;AIGC概念;乡村振兴;数据要素;知识付费;阿里概念;互联金融;元宇宙;云计算;腾讯概念;人工智能;数字货币;军民融合;信创;东数西算;智慧政务;大数据;国资云;信息安全;电子身份;ChatGPT;数据中心;知识产权,23,中国领先的大数据技术产品和服务提供商,应用软件开发,@通达信行业@
21,0,300520,科大国创,23.71,-5.84,信创;信息安全;量子科技;数字孪生;区块链;云计算;边缘计算;大数据;无人驾驶;5G概念;储能;锂电池;新能源车;东数西算;智慧政务;智能机器;AIGC概念;人工智能;热管理;数据要素;智慧城市;国产软件;ChatGPT,23,国内领先的数据智能高科技上市企业,综合软件开发,@通达信行业@
22,0,002232,启明信息,16.33,-3.71,操作系统;国产软件;数据中心;国资云;胎压监测;数据要素;无人驾驶;智能交通;央企改革;信创;虚拟现实;国防军工;元宇宙;人工智能;信息安全;汽车电子;工业互联;卫星导航;百度概念;工业软件;数字孪生;大数据;云计算,23,国内领先的汽车行业管理软件企业,汽车业管理,@通达信行业@
23,0,300603,立昂技术,12.95,-3.50,光通信;安防服务;人工智能;供销社;ETC概念;物联网;智慧城市;一带一路;5G概念;信息安全;抖音概念;云计算;数据中心;算力概念;信创;边缘计算;时空数据;东数西算;大数据;智慧政务;网红经济;智能交通;智能医疗,23,信息技术、通信技术为一体的综合性企业,数字城市、数据中心、通信网络,@通达信行业@
24,1,600410,华胜天成,7.86,-4.26,云计算;人工智能;跨境电商;智慧城市;创投概念;工业互联;算力概念;芯片;时空数据;民营银行;智慧政务;元宇宙;东数西算;冷链物流;数据中心;大数据;区块链;信创;无线耳机;国产软件;阿里概念;信息安全;物联网,23,领先的企业级云服务和企业IT系统解决方案提供商,系统方案+云计算,@通达信行业@
25,0,002339,积成电子,7.37,-1.07,信息安全;物联网;数字孪生;新型城镇;风电;人工智能;养老概念;智能电网;碳中和;3D打印;国产软件;储能;新能源车;云计算;电池回收;光伏;高压快充;特高压;充电桩;换电概念;虚拟电厂;地下管网;智能机器,23,最大的燃气自动化系统供应商之一,电网自动化,@通达信行业@
26,0,002340,格林美,6.85,-0.29,石墨烯;节能;污水处理;垃圾分类;含GDR;特斯拉;汽车拆解;镍金属;固态电池;绿色电力;钴金属;稀土永磁;锂电池;储能;新能源车;稀缺资源;大数据;电池回收;钠电池;燃料电池;光伏;降解塑料;含GDR,23,锂电池子产业链龙头，已进入宁德时代、比亚迪供应链,电池材料,@通达信行业@
27,0,002421,达实智能,3.69,-2.89,数据要素;粤港澳;数据中心;云计算;雄安新区;无人驾驶;人工智能;边缘计算;绿色建筑;区块链;数字孪生;腾讯概念;东数西算;家庭医生;信创;物联网;智能机器;智慧城市;智能医疗;碳中和;安防服务;装配建筑,22,行业领先的建筑智能化和建筑节能服务商,智能建筑,@通达信行业@
28,0,002008,大族激光,25.75,-1.72,口罩防护;OLED概念;3D打印;绿色照明;三代半导;光伏;钙钛矿;MicroLED;工业母机;光刻机;减速器;MiniLED;苹果概念;HJT电池;小米概念;芯片;消费电子;智能机器;养老概念;高端装备;TOPCon;含可转债,22,全球领先的工业激光加工及自动化整体解决方案服务商,激光及自动化配套设备,@通达信行业@
29,0,300047,天源迪科,8.35,-3.69,智慧政务;远程办公;国产软件;跨境电商;跨境支付;职业教育;ChatGPT;信息安全;云计算;华为鸿蒙;智能机器;区块链;5G概念;智慧城市;富媒体;腾讯概念;人工智能;互联金融;阿里概念;时空数据;数字货币;大数据,22,国内领先的产业云BOSS和大数据综合解决方案提供商,应用软件开发,@通达信行业@
30,0,300324,旋极信息,3.42,2.09,物联网;智慧政务;信创;国防军工;芯片;时空数据;信息安全;海南自贸;数据中心;光伏;网络游戏;大数据;智慧城市;BIPV概念;大飞机;区块链;民营银行;工业互联;数字孪生;阿里概念;东数西算;新材料,22,国防军工、税务信息化、数字城市等业务领域的重要厂商,税控盘,@通达信行业@
31,0,002579,中京电子,10.75,-3.50,新能源车;MiniLED;小米概念;CPO概念;智能机器;消费电子;新型烟草;6G概念;Chiplet;毫米雷达;粤港澳;创投概念;OLED概念;养老概念;5G概念;汽车电子;工业互联;芯片;MicroLED;物联网;智能穿戴;无线耳机,22,国内少数集刚柔PCB生产与研发于一身的PCB制造商,印刷电路板,@通达信行业@
32,0,300376,易事特,7.05,-1.67,大数据;智慧城市;特高压;充电桩;特斯拉;三代半导;新能源车;垃圾分类;边缘计算;云计算;换电概念;光伏;口罩防护;储能;数据中心;智能电网;国产软件;ETC概念;高压快充;氮化镓;虚拟电厂;锂电池,22,全球电能质量解决方案供应商,5G+智慧电源,@通达信行业@
33,0,000948,南天信息,18.66,-4.16,国资云;元宇宙;碳中和;NFT概念;创投概念;信息安全;数据中心;ETC概念;国产软件;跨境支付;物联网;数字货币;信创;智慧城市;区块链;智慧政务;电子身份;机器视觉;大数据;人工智能;云计算,21,银行IT龙头国企，数字货币重塑数字经济领军者,系统集成,@通达信行业@
34,0,002717,岭南股份,3.37,-3.99,数据确权;粤港澳;污水处理;腾讯概念;AIGC概念;在线旅游;乡村振兴;雄安新区;新型城镇;水利建设;预制菜;含可转债;PPP概念;元宇宙;网红经济;装饰园林;抖音概念;ChatGPT;人工智能;数字水印;虚拟现实,21,在生态园林领域处于行业领先地位,园林工程,@通达信行业@
35,1,600884,杉杉股份,14.56,-2.28,新能源车;钴金属;固态电池;镍金属;电商概念;虚拟现实;创投概念;钠电池;稀缺资源;含GDR;锂电池;超级电容;充电桩;光伏;特斯拉;石墨烯;电池回收;含GDR;苹果概念;新材料;民营银行,21,中国锂电池材料龙头,锂电池材料,@通达信行业@
36,0,300002,神州泰岳,14.15,-8.77,信息安全;智能电网;云计算;智能机器;ChatGPT;职业教育;智慧城市;区块链;物联网;AIGC概念;工业互联;5G概念;富媒体;大数据;信创;数字孪生;边缘计算;人工智能;智慧政务;创投概念;网络游戏,21,国内重要的游戏厂商及ICT运营企业,游戏、ICT运营,@通达信行业@
37,0,300007,汉威科技,21.16,-2.53,氢能源;信息安全;碳中和;智能机器;智慧城市;小米概念;区块链;物联网;新能源车;空气治理;工业互联;智能家居;污水处理;人脑工程;智能穿戴;数字孪生;国防军工;元宇宙;无线耳机;芯片;创投概念,21,以传感器为核心的物联网解决方案引领者,物联网综合解决方案,@通达信行业@
38,0,300036,超图软件,21.39,-5.73,国产软件;边缘计算;卫星导航;国防军工;云计算;元宇宙;华为鸿蒙;区块链;数据要素;智慧城市;Web3概念;腾讯概念;人工智能;英伟达;智能交通;阿里概念;时空数据;信创;水利建设;地下管网;智慧政务,21,地理信息系统基础软件龙头企业之一,地理信息,@通达信行业@
39,0,300339,润和软件,25.26,-4.68,元宇宙;智慧政务;信创;操作系统;小米概念;物联网;边缘计算;云计算;芯片;智能电网;人工智能;国产软件;ChatGPT;信息安全;网络游戏;华为鸿蒙;智能机器;数字货币;区块链;无人驾驶;虚拟现实,21,银行IT知名企业,金融软件,@通达信行业@
40,0,300608,思特奇,10.74,-3.94,华为鸿蒙;人工智能;电子身份;5G概念;智慧城市;C2M概念;含可转债;富媒体;数字孪生;东数西算;云计算;远程办公;算力概念;信创;边缘计算;数据中心;区块链;大数据;智慧政务;智能医疗;数据要素,21,电信运营商业务信息化领先企业,电信软件开发,@通达信行业@
41,0,300157,恒泰艾普,3.19,0.63,天然气;大数据;高端装备;东数西算;页岩气;边缘计算;氢能源;数据中心;虚拟现实;民营银行;地热能;可燃冰;一带一路;创投概念;人工智能;雄安新区;算力概念;无人机;云计算;国防军工,20,油气勘探开发的大型现代高科技硬件和软件服务商,油气勘探开发专业软件,@通达信行业@
42,0,300433,蓝思科技,11.72,-1.84,通达信88;TOPCon;消费电子;元宇宙;小米概念;虚拟现实;新型烟草;无线耳机;智能家居;工业互联;智能机器;新材料;充电桩;汽车电子;特斯拉;混合现实;苹果概念;智能穿戴;口罩防护;OLED概念,20,玻璃盖板行业全球龙头之一,玻璃盖板、触摸屏、摄像头,@通达信行业@
43,0,000938,紫光股份,36.77,-0.08,智能交通;智能机器;信息安全;物联网;芯片;信创;智慧城市;算力概念;通达信88;东数西算;操作系统;CPO概念;大数据;人工智能;安防服务;3D打印;云计算;5G概念;工业互联;国资云,20,国内领先的ICT基础设施及服务提供商,ICT基础设施及服务,@通达信行业@
44,0,000977,浪潮信息,61.48,-5.42,国资云;云计算;元宇宙;AIGC概念;边缘计算;抖音概念;信息安全;国产软件;数据中心;芯片;百度概念;算力概念;信创;智慧城市;东数西算;操作系统;腾讯概念;英伟达;人工智能;大数据,20,全球前三的服务器供应商，AI服务器龙头,服务器,@通达信行业@
45,0,300249,依米康,10.36,-4.43,智能机器;5G概念;数据中心;空气治理;物联网;算力概念;储能;PPP概念;垃圾分类;区块链;生物质能;节能;阿里概念;东数西算;云计算;大数据;碳中和;百度概念;边缘计算;智慧城市,20,国内领先的数据中心和精密环境关键制冷设备提供商,ICT领域温控产品,@通达信行业@
46,0,002512,达华智能,4.05,-2.64,智慧城市;智慧政务;国产软件;数据要素;小米概念;ETC概念;6G概念;富媒体;量子科技;卫星导航;操作系统;国防军工;大数据;人工智能;一带一路;元宇宙;互联金融;物联网;智能穿戴;华为鸿蒙,20,专注于互联网电视机主板、智能屏，同时转型物联网运营,RFID硬件+系统集成,@通达信行业@
47,0,000009,中国宝安,12.10,-1.55,钴金属;芯片;高压快充;土地流转;钠电池;减速器;物业管理;镍金属;稀土永磁;新能源车;粤港澳;储能;电池回收;充电桩;口罩防护;固态电池;石墨烯;黄金概念;创投概念;锂电池,20,全球锂离子电池负极材料龙头企业,锂电池材料,@通达信行业@
48,0,002822,中装建设,4.18,-2.34,装饰园林;BIPV概念;光伏;物业管理;算力概念;粤港澳;含可转债;风电;新型城镇;乡村振兴;数字货币;东数西算;绿色电力;PPP概念;数据中心;云计算;装配建筑;区块链;绿色建筑;杭州亚运,20,大型综合性建筑装饰设计与施工企业,装饰施工,@通达信行业@
49,0,000063,中兴通讯,42.82,-1.90,信创;通达信88;国产软件;锂电池;智能穿戴;东数西算;5G概念;毫米雷达;光通信;含H股;云计算;人工智能;智慧城市;汽车电子;芯片;物联网;富媒体;虚拟现实;边缘计算;6G概念,20,全球前五的通信解决方案提供商,通讯设备类制造,@通达信行业@
50,0,002587,奥拓电子,7.51,-5.77,绿色照明;国产软件;MiniLED;智慧政务;虚拟现实;智慧城市;智能机器;体育概念;英伟达;边缘计算;ChatGPT;腾讯概念;区块链;雄安新区;粤港澳;MicroLED;苹果概念;元宇宙;人工智能;超清视频,20,业内领先的智能视讯解决方案提供商,LED显示屏,@通达信行业@
51,0,300365,恒华科技,7.96,-4.33,雄安新区;碳中和;特高压;职业教育;智能交通;时空数据;云计算;水利建设;数据要素;燃料电池;数据中心;智能电网;物联网;国产软件;人工智能;氢能源;BIPV概念;虚拟电厂;大数据;养老概念,20,智能电网信息一体化服务市场领先企业,电网电力,@通达信行业@
52,0,300379,东方通,22.14,-5.22,人工智能;国产软件;区块链;阿里概念;虚拟现实;大数据;工业互联;智慧政务;职业教育;5G概念;时空数据;远程办公;跨境支付;信创;ChatGPT;云计算;数据确权;信息安全;国资云;ETC概念,20,国产中间件龙头,中间件,@通达信行业@
53,1,600522,中天科技,15.80,-2.59,绿色电力;云计算;石墨烯;充电桩;光通信;光伏;超级电容;工业互联;PVDF概念;特高压;6G概念;CPO概念;超导概念;数据中心;量子科技;5G概念;风电;锂电池;储能,19,国内海缆龙头企业之一,光纤光缆,@通达信行业@
54,0,002405,四维图新,11.84,-2.63,智能交通;区块链;腾讯概念;大数据;卫星导航;汽车电子;操作系统;胎压监测;智慧城市;MCU芯片;时空数据;特斯拉;国产软件;芯片;无人驾驶;国防军工;数据要素;人工智能;汽车芯片,19,中国导航地图产业的开拓者,地理信息,@通达信行业@
55,0,300184,力源信息,5.06,-2.69,光通信;小米概念;芯片;无线耳机;智能穿戴;汽车芯片;跨境电商;腾讯概念;存储芯片;物联网;特斯拉;智能电网;5G概念;ETC概念;OLED概念;MCU芯片;安防服务;电商概念;汽车电子,19,本土元器件分销行业第一梯队行列,元器件分销,@通达信行业@
56,0,002152,广电运通,12.56,-3.01,数字货币;信创;安防服务;智慧政务;机器视觉;国资云;人工智能;智能交通;铁路基建;区块链;大数据;云计算;边缘计算;数据确权;Web3概念;东数西算;创投概念;物联网;数据中心,19,连续十多年位居国内金融机具市场占有率第一,金融智能设备、运维服务,@通达信行业@
57,1,600271,航天信息,14.61,-2.60,腾讯概念;芯片;食品安全;国防军工;数字货币;智慧政务;大数据;ETC概念;国产软件;区块链;信息安全;人工智能;物联网;信创;新零售;央企改革;跨境电商;电子身份;智慧城市,19,国内税务信息化龙头企业,税控机,@通达信行业@
58,0,300020,银江技术,9.61,-2.14,元宇宙;人工智能;百度概念;云计算;杭州亚运;智慧城市;数据中心;区块链;家庭医生;物联网;ETC概念;阿里概念;智能交通;大数据;安防服务;数字孪生;新型城镇;国产软件;边缘计算,19,国内领先的智慧城市和智慧交通整体解决方案提供商,智慧城市,@通达信行业@
59,0,002261,拓维信息,20.11,-1.42,算力概念;东数西算;云计算;操作系统;国产软件;大数据;智能机器;婴童概念;智慧政务;网络游戏;智能交通;信创;智慧城市;边缘计算;5G概念;华为鸿蒙;元宇宙;人工智能;工业互联,19,业务涵盖政企数字化、智能计算、鸿蒙生态的软件厂商,教育云平台,@通达信行业@
60,0,000032,深桑达Ａ,36.97,-4.10,数据确权;碳中和;智慧政务;粤港澳;智慧城市;铁路基建;央企改革;操作系统;国资云;元宇宙;安防服务;数字孪生;大数据;绿色照明;智能交通;数据中心;信创;绿色电力;数据要素,19,以洁净室工程为代表的高科技产业工程服务,高科技产业工程服务,@通达信行业@
61,0,300079,数码视讯,6.80,-4.23,区块链;数字货币;数据确权;跨境支付;生物疫苗;信息安全;超清视频;AIGC概念;知识产权;无人机;大数据;ETC概念;元宇宙;虚拟现实;NFT概念;博彩概念;5G概念;数字水印;互联金融,19,全球一流的视频技术服务平台公司,应急广播、智能网关、数字电视,@通达信行业@
62,0,300352,北信源,5.22,-3.51,智慧政务;操作系统;信创;智能家居;富媒体;数字水印;物联网;安防服务;远程办公;ChatGPT;人工智能;信息安全;国产软件;大数据;军民融合;区块链;工业互联;智慧城市;数字货币,19,中国信息安全领域的领军企业.终端安全管理龙头企业,信息安全,@通达信行业@
63,0,000851,高鸿股份,5.68,-2.57,边缘计算;乡村振兴;物联网;信息安全;智慧城市;数据中心;国产软件;央企改革;信创;无人驾驶;区块链;大数据;百度概念;人工智能;ChatGPT;操作系统;创投概念;工业互联;云计算,19,国内重要的系统集成服务提供商,系统集成和IT销售,@通达信行业@
64,0,300678,中科信息,54.49,-7.64,云计算;人脑工程;智慧政务;数据要素;信创;区块链;大数据;央企改革;智能机器;机器视觉;烟草概念;新型烟草;智慧城市;AIGC概念;物联网;国产软件;人工智能;智能医疗,18,国内领先的基于人工智能行业信息化整体解决方案提供商,信息化解决方案,@通达信行业@
65,0,301248,杰创智能,23.67,-4.05,智慧政务;数据中心;时空数据;国防军工;智能电网;智慧城市;区块链;信创;国产软件;智能交通;腾讯概念;数据确权;粤港澳;智能医疗;新型城镇;数据要素;无人机;人工智能,18,重要的智慧城市和智慧安全服务商,智慧城市,@通达信行业@
66,0,000925,众合科技,8.07,-2.30,元宇宙;铁路基建;智能机器;数据要素;时空数据;跨境电商;数字水印;智慧城市;空气治理;东数西算;智慧政务;人工智能;机器视觉;数字孪生;杭州亚运;腾讯概念;工业互联;智能交通,18,国内轨交信号系统龙头企业,轨道交通信号系统,@通达信行业@
67,0,002929,润建股份,41.92,-2.87,区块链;数据中心;工业互联;充电桩;无人机;智能机器;算力概念;虚拟电厂;信创;雄安新区;5G概念;边缘计算;虚拟现实;含可转债;东数西算;储能;光伏;云计算,18,网络管维领域龙头企业之一,通信技术服务业,@通达信行业@
68,1,600839,四川长虹,5.14,-3.93,虚拟现实;人工智能;超清视频;OLED概念;跨境电商;网络直播;芯片;算力概念;区块链;军民融合;智能机器;毫米雷达;跨境支付;信创;钒电池;物联网;血氧仪;工业互联,18,彩电、冰箱零售量规模保持国内行业第一阵列,电视机、空调、冰箱,@通达信行业@
69,0,000969,安泰科技,9.17,-1.40,氢能源;核电核能;碳纤维;三代半导;新材料;氮化镓;创投概念;苹果概念;光刻机;央企改革;可控核变;国防军工;燃料电池;节能;稀土永磁;3D打印;一带一路;5G概念,18,细分行业难熔钨钼精深加工领域的龙头企业,金属新材料,@通达信行业@
70,1,601727,上海电气,4.54,-1.52,临界发电;钒电池;充电桩;储能;智能机器;智能交通;可控核变;高端装备;含H股;一带一路;工业母机;光热发电;大飞机;燃料电池;核电核能;氢能源;风电;国防军工,18,中国装备制造业最大的企业集团之一,核电设备,@通达信行业@
71,0,000997,新 大 陆,19.62,-3.16,人工智能;大数据;互联金融;海峡西岸;智能交通;食品安全;边缘计算;乡村振兴;ETC概念;华为鸿蒙;数字货币;信创;物联网;智慧城市;电子身份;网络游戏;安防服务;冷链物流,18,国内电子信息及税控收款机等多领域的龙头企业,电子支付,@通达信行业@
72,0,300213,佳讯飞鸿,6.80,-3.55,安防服务;数据要素;雄安新区;一带一路;铁路基建;工业互联;无人机;元宇宙;人工智能;云计算;军民融合;国防军工;智慧城市;百度概念;边缘计算;物联网;智能机器;富媒体,18,智慧指挥调度全产业链综合解决方案提供商,交通调度通信,@通达信行业@
73,1,600869,远东股份,5.26,-1.13,电商概念;国防军工;核电核能;智慧城市;云计算;智能电网;锂电池;充电桩;石墨烯;储能;一带一路;数据中心;风电;特高压;无人机;新能源车;高端装备;信创,18,国内智能线缆品种最全的供应商之一,电线电缆,@通达信行业@
74,0,300263,隆华科技,8.03,0.50,复合铜箔;核电核能;临界发电;OLED概念;钙钛矿;雄安新区;PPP概念;电池回收;含可转债;大飞机;芯片;节能;地热能;国防军工;新材料;HJT电池;污水处理;光伏,18,复合冷产品行业龙头，工业水处理板块的技术领跑者,半导体材料,@通达信行业@
75,0,002236,大华股份,22.10,-7.03,无人机;杭州亚运;智能机器;数据中心;PPP概念;超清视频;智能家居;安防服务;机器视觉;无人驾驶;远程办公;智能交通;智慧城市;虚拟现实;腾讯概念;人工智能;汽车电子;毫米雷达,18,安防行业全球第二,安防视频监控产品,@通达信行业@
76,0,300292,吴通控股,3.93,-3.44,新能源车;抖音概念;毫米雷达;热管理;边缘计算;富媒体;汽车电子;免税概念;光通信;ChatGPT;跨境电商;5G概念;无人驾驶;数字货币;物联网;腾讯概念;阿里概念;百度概念,18,领先的通讯智能制造企业和互联网信息服务提供商,移动信息服务行业,@通达信行业@
77,0,300830,金现代,10.33,-4.00,国防军工;绿色电力;风电;远程办公;大数据;铁路基建;充电桩;国产软件;工业互联;信创;智能穿戴;华为鸿蒙;ChatGPT;智能电网;特高压;工业软件;人工智能;职业教育,18,电力行业生产业务领域信息化领先企业,软件开发及实施,@通达信行业@
78,0,000027,深圳能源,6.45,1.42,临界发电;风电;创投概念;粤港澳;污水处理;碳中和;节能;BIPV概念;PPP概念;光伏;氢能源;租购同权;特高压;储能;绿色电力;天然气;充电桩;垃圾分类,18,深圳首家上市公用事业公司，珠江三角洲区域优势,火电（广东）,@通达信行业@
79,0,300044,赛为智能,4.92,-10.38,网络游戏;绿色建筑;PPP概念;云计算;数据中心;乡村振兴;智能机器;抖音概念;无人机;区块链;5G概念;智慧城市;腾讯概念;人工智能;铁路基建;时空数据;机器视觉;大数据,18,国内城市轨道交通智能化和建筑智能化的知名品牌,智慧城市,@通达信行业@
80,0,300078,思创医惠,4.70,-3.69,食品安全;安防服务;DRG-DIP;养老概念;人工智能;百度概念;国产软件;芯片;辅助生殖;大数据;含可转债;云计算;智能医疗;家庭医生;物联网;新零售;阿里概念;区块链,18,智慧医疗领先企业之一,智慧医疗、EAS、RFID产品,@通达信行业@
81,0,000158,常山北明,7.81,-7.02,信息安全;区块链;数据中心;口罩防护;智能机器;数据确权;工业互联;国产软件;智慧政务;算力概念;腾讯概念;雄安新区;人工智能;国资云;智慧城市;智能交通;冷链物流;大数据,18,公司是国内领先的系统集成及行业解决方案服务商,系统集成及软件,@通达信行业@
